zone,time_6h,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_temperature_0_to_7cm,et0_fao_evapotranspiration,precip_lag_6h,precip_lag_12h,precip_lag_24h,precip_lag_48h,temp_lag_24h,precip_roll_sum_24h,precip_roll_sum_48h,precip_roll_sum_72h,precip_roll_max_24h,humidity_roll_max_24h,et0_roll_sum_24h,api_7d,soil_saturation_index,soil_moisture_change_6h,soil_moisture_deficit,frozen_ground_flag,temp_trend_24h,et_deficit_6h,et_deficit_24h,humidity_precip_product,highland_precip_24h,zone_cascade_risk,hour_sin,hour_cos,doy_sin,doy_cos,is_winter,dq_score,is_flood,risk_score,flood_pred,risk_level
Moderate Relief,2026-05-04 00:00:00,9.833333333333334,91.5,0.0,8.183333333333334,0.06616666666666667,0.233,11.216666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,0.0,0.0,0.14958333333333335,0.0,0.30041666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8452490573530633,-0.5343725582809786,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-04 06:00:00,11.633333333333333,83.66666666666667,0.0,8.333333333333334,0.07466666666666667,0.232,12.316666666666668,0.7100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,0.7100000000000001,0.0,0.15333333333333335,0.008500000000000008,0.29666666666666663,0,0.0,-0.7100000000000001,-0.7100000000000001,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.8452490573530633,-0.5343725582809786,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-04 12:00:00,15.399999999999999,77.5,0.0,21.75,0.07216666666666667,0.23116666666666671,16.900000000000002,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,2.4,0.0,0.1516666666666667,-0.0025000000000000022,0.29833333333333334,0,0.0,-1.69,-2.4,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.8452490573530633,-0.5343725582809786,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-04 18:00:00,11.366666666666665,86.66666666666667,0.0,25.150000000000002,0.06883333333333334,0.23033333333333336,15.133333333333335,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,2.63,0.0,0.14958333333333335,-0.003333333333333327,0.30041666666666667,0,0.0,-0.22999999999999998,-2.63,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.8452490573530633,-0.5343725582809786,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-05 00:00:00,10.533333333333333,87.83333333333333,0.0,20.383333333333336,0.07066666666666667,0.22983333333333336,11.416666666666666,0.060000000000000005,0.0,0.0,0.0,0.0,9.833333333333334,0.0,0.0,0.0,0.0,87.83333333333333,2.69,0.0,0.15025000000000002,0.0018333333333333257,0.29974999999999996,0,0.6999999999999993,-0.060000000000000005,-2.69,0.0,0.0,0.0,0.0,1.0,0.8359254794186372,-0.548842958284719,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-05 06:00:00,13.183333333333332,80.66666666666667,0.0,4.866666666666666,0.0705,0.229,14.0,0.79,0.0,0.0,0.0,0.0,11.633333333333333,0.0,0.0,0.0,0.0,87.83333333333333,2.77,0.0,0.14975,-0.00016666666666667607,0.30025,0,1.549999999999999,-0.79,-2.77,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.8359254794186372,-0.548842958284719,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-05 12:00:00,18.75,62.833333333333336,0.0,9.716666666666667,0.057166666666666664,0.22833333333333336,23.866666666666664,2.46,0.0,0.0,0.0,0.0,15.399999999999999,0.0,0.0,0.0,0.0,87.83333333333333,3.54,0.0,0.14275000000000002,-0.013333333333333329,0.30725,0,3.3500000000000014,-2.46,-3.54,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.8359254794186372,-0.548842958284719,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-05 18:00:00,14.066666666666668,81.16666666666667,0.0,15.116666666666667,0.052,0.22733333333333336,18.299999999999997,0.32,0.0,0.0,0.0,0.0,11.366666666666665,0.0,0.0,0.0,0.0,87.83333333333333,3.63,0.0,0.1396666666666667,-0.005166666666666667,0.31033333333333335,0,2.700000000000003,-0.32,-3.63,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.8359254794186372,-0.548842958284719,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-06 00:00:00,12.433333333333332,84.0,0.0,21.98333333333333,0.05433333333333334,0.22683333333333333,14.066666666666665,0.14,0.0,0.0,0.0,0.0,10.533333333333333,0.0,0.0,0.0,0.0,84.0,3.71,0.0,0.14058333333333334,0.00233333333333334,0.3094166666666667,0,1.8999999999999986,-0.14,-3.71,0.0,0.0,0.0,0.0,1.0,0.8263541987239096,-0.5631507242749186,0,1.0,0,0.0,0,LOW
Moderate Relief,2026-05-06 06:00:00,14.25,76.0,0.0,17.933333333333334,0.054,0.226,15.949999999999998,0.9299999999999999,0.0,0.0,0.0,0.0,13.183333333333332,0.0,0.0,0.0,0.0,84.0,3.8499999999999996,0.0,0.14,-0.00033333333333333826,0.31,0,1.0666666666666682,-0.9299999999999999,-3.8499999999999996,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.8263541987239096,-0.5631507242749186,0,1.0,0,0.0,0,LOW
